# Test bug, using GLSL 4.20 on a 3.3 context.
# Broken in VK-GL-CTS e5c45899ed7e90fb616ccd1d3c66e6eded120684
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r64_sfloat.a8b8g8r8_sscaled_pack32.general_linear_linear,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r64_sint.r32_sint.general_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r64g64_sfloat.e5b9g9r9_ufloat_pack32.optimal_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r64g64b64a64_sfloat.a8b8g8r8_snorm_pack32.optimal_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r8_snorm.r16g16b16a16_uscaled.optimal_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r8_unorm.r16g16b16_unorm.optimal_general_linear,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r8_uscaled.b10g11r11_ufloat_pack32.general_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r8g8_sscaled.b8g8r8a8_snorm.general_general_linear,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r8g8_unorm.r5g5b5a1_unorm_pack16.general_general_linear,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r8g8_uscaled.b8g8r8_uscaled.optimal_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r8g8b8_sscaled.r8g8b8a8_snorm.general_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r8g8b8a8_sscaled.r16g16b16_unorm.optimal_general_linear,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r8g8b8a8_unorm.r16_unorm.optimal_general_linear,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.3d.a8b8g8r8_snorm_pack32.a8b8g8r8_snorm_pack32.general_general_linear_stripes_z,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.3d.astc_12x12_srgb_block.astc_12x12_srgb_block.general_general_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.3d.r16_uint.r16_uint.general_optimal_nearest_stripes_x,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.3d.r16g16b16a16_snorm.r16g16b16a16_snorm.optimal_optimal_linear_stripes_z,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.generate_mipmaps.from_base_level.layercount_1.r16g16b16a16_sscaled.general_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.generate_mipmaps.from_base_level.layercount_6.r16g16b16_sfloat.optimal_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.generate_mipmaps.from_previous_level.layercount_1.r16g16_sfloat.general_general_linear,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.generate_mipmaps.from_previous_level.layercount_6.r16g16_unorm.general_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.image_to_image.all_formats.color.1d.r8g8b8a8_sscaled.r8g8b8a8_sscaled.general_general,Fail
dEQP-VK.api.copy_and_blit.core.image_to_image.all_formats.color.2d.a2b10g10r10_uscaled_pack32.b8g8r8a8_uscaled.general_general,Fail
dEQP-VK.api.copy_and_blit.core.image_to_image.all_formats.color.2d.a2r10g10b10_uscaled_pack32.a8b8g8r8_sscaled_pack32.general_general,Fail
dEQP-VK.api.copy_and_blit.core.image_to_image.all_formats.color.2d.a8b8g8r8_sscaled_pack32.a2r10g10b10_uint_pack32.general_general,Fail
dEQP-VK.api.copy_and_blit.core.image_to_image.all_formats.color.2d.b8g8r8a8_uint.r16g16_unorm.general_general,Fail
dEQP-VK.api.copy_and_blit.core.image_to_image.all_formats.color.2d.etc2_r8g8b8_unorm_block.r16g16b16a16_sfloat.general_general,Fail
dEQP-VK.api.copy_and_blit.core.image_to_image.all_formats.color.2d.r16_uint.r16_snorm.general_general,Fail
dEQP-VK.api.copy_and_blit.core.image_to_image.all_formats.color.2d.r16g16_uscaled.r8g8b8a8_snorm.general_general,Fail
dEQP-VK.api.copy_and_blit.core.image_to_image.all_formats.color.2d.r16g16b16a16_uint.eac_r11_unorm_block.general_general,Fail
dEQP-VK.api.copy_and_blit.core.image_to_image.all_formats.color.2d.r32_uint.r16g16_sscaled.general_general,Fail
dEQP-VK.api.copy_and_blit.core.image_to_image.all_formats.color.2d.r8g8b8a8_sint.r32_sint.general_general,Fail
dEQP-VK.api.copy_and_blit.core.image_to_image.all_formats.color.3d.eac_r11g11_unorm_block.eac_r11g11_unorm_block.general_general,Fail
dEQP-VK.api.copy_and_blit.dedicated_allocation.blit_image.all_formats.color.2d.bc3_srgb_block.a8b8g8r8_srgb_pack32.general_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.dedicated_allocation.blit_image.all_formats.color.2d.r4g4_unorm_pack8.b8g8r8a8_uscaled.optimal_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.dedicated_allocation.blit_image.all_formats.color.2d.r64g64b64_sfloat.r4g4_unorm_pack8.general_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.dedicated_allocation.blit_image.all_formats.color.2d.r8_uint.r16g16b16a16_uint.general_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.dedicated_allocation.blit_image.all_formats.color.2d.r8_unorm.r4g4_unorm_pack8.optimal_optimal_linear,Fail
dEQP-VK.api.copy_and_blit.dedicated_allocation.blit_image.all_formats.color.3d.r16g16b16_snorm.r16g16b16_snorm.general_optimal_linear_stripes_y,Fail
dEQP-VK.api.copy_and_blit.dedicated_allocation.blit_image.all_formats.color.3d.r4g4_unorm_pack8.r4g4_unorm_pack8.optimal_linear_linear_stripes_y,Fail
dEQP-VK.api.copy_and_blit.dedicated_allocation.blit_image.all_formats.color.3d.r8g8b8a8_srgb.r8g8b8a8_srgb.optimal_optimal_linear_stripes_y,Fail
dEQP-VK.api.copy_and_blit.dedicated_allocation.blit_image.all_formats.color.3d.r8g8b8a8_uscaled.r8g8b8a8_uscaled.general_general_linear_stripes_y,Fail
dEQP-VK.api.copy_and_blit.dedicated_allocation.blit_image.all_formats.generate_mipmaps.from_base_level.layercount_1.a2b10g10r10_sscaled_pack32.general_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.dedicated_allocation.blit_image.all_formats.generate_mipmaps.from_previous_level.layercount_6.b8g8r8a8_uscaled.optimal_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.dedicated_allocation.image_to_image.all_formats.color.2d.r4g4b4a4_unorm_pack16.r16_unorm.general_general,Fail
dEQP-VK.api.granularity.random.r16_sint,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.single_layer.r16g16b16_uscaled_200x180,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.1d.linear.multiple_layers.a4b4g4r4_unorm_pack16_71x1_clamp_input,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.1d.optimal.multiple_layers.r4g4_unorm_pack8_clamp_input,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.1d.optimal.remaining_array_layers.a8b8g8r8_snorm_pack32,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.1d.optimal.remaining_array_layers_twostep.r4g4_unorm_pack8_71x1,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.2d.linear.multiple_layers.r32g32b32a32_sint_1x33,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.2d.linear.remaining_array_layers.r32g32b32a32_uint_33x128,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.2d.linear.single_layer.r32g32b32a32_sfloat,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.2d.optimal.multiple_layers.b8g8r8a8_srgb_1x33_clamp_input_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.2d.optimal.remaining_array_layers.a4r4g4b4_unorm_pack16_clamp_input_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.2d.optimal.remaining_array_layers.b8g8r8a8_srgb_33x128_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.3d.linear.single_layer.r32g32b32_sint,Fail
dEQP-VK.api.image_clearing.core.partial_clear_color_attachment.multiple_layers.r16g16b16_unorm_clamp_input,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.cube_layers.r16_sfloat,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.single_layer.r16g16_unorm_64x11,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.multiple_layers.e5b9g9r9_ufloat_pack32_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.remaining_array_layers.b8g8r8a8_uint_200x1_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.2d.optimal.remaining_array_layers.r32g32b32a32_sint_200x180,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.2d.optimal.single_layer.b8g8r8a8_sscaled_200x180,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.3d.linear.single_layer.r16g16b16a16_sscaled_55x21x11,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.3d.optimal.single_layer.r32g32b32_sint_200x180x16_multiple_subresourcerange,Fail
dEQP-VK.api.info.image_format_properties.2d.linear.astc_10x5_unorm_block,Fail
dEQP-VK.api.info.image_format_properties2.2d.optimal.astc_10x10_unorm_block,Fail
dEQP-VK.api.info.sparse_image_format_properties2.1d.linear.astc_12x12_unorm_block,Fail
dEQP-VK.api.object_management.multithreaded_per_thread_resources.pipeline_layout_single,Fail
dEQP-VK.compute.workgroup_memory_explicit_layout.alias.u16_to_u8_array_scalar_func_read_write_barrier,Fail
dEQP-VK.compute.workgroup_memory_explicit_layout.zero.uint16_t_array_to_float16_t_uvec3_array_4,Fail
dEQP-VK.compute.workgroup_memory_explicit_layout.zero.uint8_t_array_to_float16_t_double_array_4,Fail
dEQP-VK.draw.dynamic_rendering.instanced.draw_vk_primitive_topology_triangle_list_attrib_divisor_2_multiview,Fail
dEQP-VK.draw.dynamic_rendering.multi_draw.mosaic.indexed_mixed.16_draws.stride_extra_4.no_instances.vert_only.single_view.offset_6,Fail
dEQP-VK.draw.dynamic_rendering.multi_draw.mosaic.indexed_packed.16_draws.standard_stride.1_instance.vert_only.single_view.offset_6,Fail
dEQP-VK.draw.dynamic_rendering.multi_draw.mosaic.indexed_random.16_draws.standard_stride.10_instances.with_tess.single_view.offset_6,Fail
dEQP-VK.draw.dynamic_rendering.multi_draw.mosaic.normal.one_draw.stride_zero.2_instances_base_3.vert_only.multiview.no_offset,Fail
dEQP-VK.draw.dynamic_rendering.multi_draw.overlapping.indexed_packed.16_draws.standard_stride.no_instances.vert_only.single_view.offset_6,Fail
dEQP-VK.draw.renderpass.multi_draw.mosaic.indexed_packed.no_draws.stride_extra_12.1_instance.with_tess.multiview.offset_6,Fail
dEQP-VK.fragment_shading_rate.dynamic_rendering.fast_linked_library.conservativeunder.dynamic.attachment.shaderrate.keep.replace.1x1.samples2.vs,Fail
dEQP-VK.fragment_shading_rate.dynamic_rendering.fast_linked_library.interlock.dynamic.noattachment.shaderrate.replace.replace.256x256.samples8.vs,Fail
dEQP-VK.fragment_shading_rate.dynamic_rendering.monolithic.apisamplemask.dynamic.attachment.shaderrate.keep.replace.151x431.samples4.vs,Fail
dEQP-VK.fragment_shading_rate.dynamic_rendering.monolithic.basic.dynamic.attachment.shaderrate.keep.replace.256x256.samples2.vs,Fail
dEQP-VK.fragment_shading_rate.dynamic_rendering.monolithic.basic.dynamic.attachment.shaderrate.mul.replace.256x256.samples2.vs,Fail
dEQP-VK.fragment_shading_rate.dynamic_rendering.monolithic.basic.dynamic.noattachment.noshaderrate.mul.max.151x431.samples4.vs,Fail
dEQP-VK.fragment_shading_rate.dynamic_rendering.monolithic.basic.dynamic.noattachment.shaderrate.max.mul.4x4.samples8.gs,Fail
dEQP-VK.fragment_shading_rate.dynamic_rendering.monolithic.basic.static.attachment.noshaderrate.mul.max.151x431.samples4.vs,Fail
dEQP-VK.fragment_shading_rate.dynamic_rendering.monolithic.conservativeover.dynamic.noattachment.shaderrate.keep.replace.151x431.samples4.vs,Fail
dEQP-VK.fragment_shading_rate.dynamic_rendering.monolithic.samplelocations.dynamic.attachment.shaderrate.keep.keep.256x256.samples2.vs,Fail
dEQP-VK.fragment_shading_rate.dynamic_rendering.monolithic.srlayered.dynamic.attachment.shaderrate.replace.keep.256x256.samples2.vs,Fail
dEQP-VK.fragment_shading_rate.dynamic_rendering.pipeline_library.multiview.dynamic.noattachment.noshaderrate.replace.replace.256x256.samples4.vs,Fail
dEQP-VK.fragment_shading_rate.renderpass2.fast_linked_library.interlock.dynamic.attachment.noshaderrate.replace.keep.1x1.samples8.vs,Fail
dEQP-VK.fragment_shading_rate.renderpass2.fast_linked_library.sampleshadingenable.dynamic.noattachment.shaderrate.replace.keep.33x35.samples2.gs,Fail
dEQP-VK.fragment_shading_rate.renderpass2.monolithic.attachment_rate.setup_with_fragment.r64_uint.rate_1x2,Fail
dEQP-VK.fragment_shading_rate.renderpass2.monolithic.basic.dynamic.attachment.shaderrate.keep.replace.151x431.samples2.vs,Fail
dEQP-VK.fragment_shading_rate.renderpass2.monolithic.basic.dynamic.attachment.shaderrate.mul.replace.151x431.samples2.vs,Fail
dEQP-VK.fragment_shading_rate.renderpass2.monolithic.basic.dynamic.noattachment.noshaderrate.mul.max.4x4.samples4.vs,Fail
dEQP-VK.fragment_shading_rate.renderpass2.monolithic.basic.dynamic.noattachment.shaderrate.max.mul.1x1.samples8.gs,Fail
dEQP-VK.fragment_shading_rate.renderpass2.monolithic.basic.dynamic.noattachmentptr.shaderrate.mul.mul.1x1.samples8.gs,Fail
dEQP-VK.fragment_shading_rate.renderpass2.monolithic.basic.static.attachment.shaderrate.keep.max.4x4.samples4.vs,Fail
dEQP-VK.fragment_shading_rate.renderpass2.monolithic.basic.static.noattachmentptr.noshaderrate.max.max.4x4.samples4.vs,Fail
dEQP-VK.fragment_shading_rate.renderpass2.monolithic.colorlayered.dynamic.noattachment.shaderrate.keep.keep.1x1.samples8.gs,Fail
dEQP-VK.fragment_shading_rate.renderpass2.monolithic.conservativeover.dynamic.noattachmentptr.noshaderrate.keep.keep.4x4.samples4.vs,Fail
dEQP-VK.fragment_shading_rate.renderpass2.monolithic.conservativeunder.dynamic.noattachment.noshaderrate.keep.keep.4x4.samples4.vs,Fail
dEQP-VK.fragment_shading_rate.renderpass2.monolithic.multiview.dynamic.noattachment.shaderrate.replace.keep.1x1.samples8.gs,Fail
dEQP-VK.fragment_shading_rate.renderpass2.monolithic.samplelocations.dynamic.noattachment.shaderrate.replace.keep.1x1.samples8.gs,Fail
dEQP-VK.fragment_shading_rate.renderpass2.monolithic.sampleshadinginput.dynamic.attachment.shaderrate.keep.keep.1x1.samples8.gs,Fail
dEQP-VK.fragment_shading_rate.renderpass2.pipeline_library.conservativeunder.dynamic.attachment.noshaderrate.replace.keep.1x1.samples16.vs,Fail
dEQP-VK.fragment_shading_rate.renderpass2.pipeline_library.interlock.dynamic.noattachment.shaderrate.replace.replace.256x256.samples4.vs,Fail
dEQP-VK.fragment_shading_rate.renderpass2.pipeline_library.multiview.dynamic.noattachmentptr.shaderrate.keep.keep.33x35.samples4.vs,Fail
dEQP-VK.fragment_shading_rate.renderpass2.pipeline_library.sampleshadingenable.dynamic.noattachment.shaderrate.keep.replace.1x1.samples4.vs,Fail
dEQP-VK.glsl.atomic_operations.min_signed_geometry,Fail
dEQP-VK.glsl.builtin.function.integer.findlsb.uvec4_mediump_tess_eval,Fail
dEQP-VK.glsl.builtin.precision_fp16_storage32b.pow.compute.vec4,Fail
dEQP-VK.glsl.conversions.matrix_to_matrix.mat2_to_mat4x3_fragment,Fail
dEQP-VK.glsl.indexing.varying_array.vec4_dynamic_loop_write_dynamic_loop_read,Fail
dEQP-VK.glsl.matrix.mul.const.highp_vec2_mat4x2_vertex,Fail
dEQP-VK.glsl.operator.binary_operator.div.highp_ivec2_vertex,Fail
dEQP-VK.glsl.operator.binary_operator.mod_assign_effect.highp_uvec2_vertex,Fail
dEQP-VK.glsl.swizzles.vector_swizzles.mediump_ivec3_zzy_vertex,Fail
dEQP-VK.glsl.texture_functions.texturegradoffset.sampler1darrayshadow_fragment,Fail
dEQP-VK.glsl.texture_gather.basic.cube.depth32f.no_corners.size_pot.compare_greater.sparse_clamp_to_edge_repeat,Fail
dEQP-VK.image.atomic_operations.add.cube_array.notransfer.normal_read.normal_img.r64i_intermediate_values,Fail
dEQP-VK.image.extended_usage_bit.attachment_write.r16g16_uint,Fail
dEQP-VK.image.extended_usage_bit_compatibility.image_format_properties.astc_5x4_srgb_block_optimal_video_decode_dpb_bit_khr,Fail
dEQP-VK.image.extended_usage_bit_compatibility.image_format_properties.b8g8r8a8_sint_optimal_transient_attachment_bit,Fail
dEQP-VK.image.extended_usage_bit_compatibility.image_format_properties.bc1_rgba_unorm_block_linear_transfer_src_bit,Fail
dEQP-VK.image.extended_usage_bit_compatibility.image_format_properties2.astc_8x8_unorm_block_linear_video_decode_dst_bit_khr,Fail
dEQP-VK.image.extended_usage_bit_compatibility.image_format_properties2.r16g16b16_sscaled_optimal_video_encode_src_bit_khr,Fail
dEQP-VK.image.extended_usage_bit_compatibility.image_format_properties2.r64g64_sfloat_optimal_transient_attachment_bit,Fail
dEQP-VK.image.load_store_lod.without_format.cube_array.r16g16_uint,Fail
dEQP-VK.image.mutable.2d_array.r16g16_sfloat_r16g16_uint_copy_load_format_list,Fail
dEQP-VK.image.mutable.2d_array.r16g16_uint_r8g8b8a8_uint_clear_copy_format_list,Fail
dEQP-VK.image.mutable.2d_array.r8g8b8a8_srgb_r16g16_uint_copy_load_format_list,Fail
dEQP-VK.image.store.with_format.1d.r8g8b8a8_unorm_constant,Fail
dEQP-VK.image.store.without_format.3d.r8_snorm,Fail
dEQP-VK.image.subresource_layout.3d.1_level.r8_uint,Fail
dEQP-VK.image.swapchain_mutable.macos.2d_array.r8g8b8a8_srgb_r8g8b8a8_snorm_draw_copy_format_list,Fail
dEQP-VK.image.swapchain_mutable.wayland.2d_array.b8g8r8a8_srgb_r8g8b8a8_unorm_clear_texture_format_list,Fail
dEQP-VK.image.swapchain_mutable.xlib.2d.r8g8b8a8_srgb_r8g8b8a8_unorm_clear_load_format_list,Fail
dEQP-VK.image.texel_view_compatible.compute.basic.2d_image.texel_fetch.bc6h_ufloat_block.r32g32b32a32_sint,Fail
dEQP-VK.image.texel_view_compatible.graphic.basic.1d_image.texture_write.astc_8x6_unorm_block.r32g32b32a32_sint,Fail
dEQP-VK.image.texel_view_compatible.graphic.basic.3d_image.texture_write.etc2_r8g8b8a1_unorm_block.r16g16b16a16_sint,Fail
dEQP-VK.image.texel_view_compatible.graphic.extended.2d_image.attachment_read.astc_10x10_unorm_block.r32g32b32a32_sint,Fail
dEQP-VK.memory_model.message_passing.ext.f64.coherent.atomic_atomic.atomicwrite.device.payload_nonlocal.buffer.guard_local.buffer.comp,Fail
dEQP-VK.memory_model.message_passing.ext.u32.coherent.atomic_atomic.atomicwrite.device.payload_local.image.guard_nonlocal.buffer.comp,Fail
dEQP-VK.memory_model.message_passing.ext.u32.coherent.fence_fence.atomicwrite.subgroup.payload_nonlocal.image.guard_nonlocal.physbuffer.frag,Fail
dEQP-VK.memory_model.message_passing.ext.u64.coherent.atomic_atomic.atomicwrite.queuefamily.payload_nonlocal.workgroup.guard_nonlocal.workgroup.comp,Fail
dEQP-VK.memory_model.message_passing.ext.u64.noncoherent.atomic_atomic.atomicrmw.device.payload_nonlocal.image.guard_local.buffer.vert,Fail
dEQP-VK.memory_model.write_after_read.ext.f32.coherent.atomic_atomic.atomicwrite.subgroup.payload_local.physbuffer.guard_nonlocal.physbuffer.comp,Fail
dEQP-VK.memory_model.write_after_read.ext.f32.noncoherent.atomic_atomic.atomicrmw.queuefamily.payload_nonlocal.workgroup.guard_local.image.comp,Fail
dEQP-VK.memory_model.write_after_read.ext.f64.noncoherent.atomic_atomic.atomicrmw.subgroup.payload_nonlocal.physbuffer.guard_local.buffer.comp,Fail
dEQP-VK.memory_model.write_after_read.ext.u32.coherent.atomic_fence.atomicwrite.queuefamily.payload_local.physbuffer.guard_local.physbuffer.vert,Fail
dEQP-VK.memory_model.write_after_read.ext.u32.coherent.control_barrier.atomicwrite.workgroup.payload_local.buffer.guard_nonlocal.buffer.comp,Fail
dEQP-VK.memory_model.write_after_read.ext.u32.coherent.fence_fence.atomicwrite.device.payload_local.buffer.guard_nonlocal.buffer.comp,Fail
dEQP-VK.memory_model.write_after_read.ext.u32.noncoherent.atomic_atomic.atomicrmw.subgroup.payload_nonlocal.image.guard_local.physbuffer.frag,Fail
dEQP-VK.memory_model.write_after_read.ext.u32.noncoherent.atomic_fence.atomicwrite.queuefamily.payload_nonlocal.image.guard_local.buffer.frag,Fail
dEQP-VK.mesh_shader.nv.in_out.with_f16.permutation_13.mesh_only,Fail
dEQP-VK.pipeline.fast_linked_library.blend.dual_source.format.a4r4g4b4_unorm_pack16.states.color_1msc_1ms1c_sub_alpha_da_z_min-color_sa_cc_max_alpha_sc_sa_min-color_o_s1c_sub_alpha_1msa_sa_add-color_sa_1mda_rsub_alpha_cc_sc_add,Fail
dEQP-VK.pipeline.fast_linked_library.blend.dual_source.format.r16_unorm.states.color_cc_1msc_rsub_alpha_sc_1mdc_sub-color_1ms1c_sas_sub_alpha_s1c_sas_max-color_dc_sa_sub_alpha_sa_1msa_add-color_s1c_sc_add_alpha_z_o_min,Fail
dEQP-VK.pipeline.fast_linked_library.blend.dual_source.format.r16g16b16a16_snorm.states.color_1msa_1mdc_max_alpha_s1a_ca_max-color_1mda_cc_min_alpha_sas_dc_sub-color_1ms1a_sc_sub_alpha_z_dc_max-color_sc_dc_sub_alpha_s1c_o_min,Fail
dEQP-VK.pipeline.fast_linked_library.blend.format.a4b4g4r4_unorm_pack16.states.color_1mca_sa_min_alpha_cc_sas_rsub-color_dc_sc_min_alpha_sas_dc_min-color_1mda_1msc_max_alpha_sa_1msc_max-color_cc_1mdc_min_alpha_1mda_1msc_rsub,Fail
dEQP-VK.pipeline.fast_linked_library.blend.format.r16_snorm.states.color_1mca_sa_min_alpha_cc_sas_rsub-color_dc_sc_min_alpha_sas_dc_min-color_1mda_1msc_max_alpha_sa_1msc_max-color_cc_1mdc_min_alpha_1mda_1msc_rsub,Fail
dEQP-VK.pipeline.fast_linked_library.blend.format.r16g16b16a16_sfloat.states.color_1mca_sa_min_alpha_cc_sas_rsub-color_dc_sc_min_alpha_sas_dc_min-color_1mda_1msc_max_alpha_sa_1msc_max-color_cc_1mdc_min_alpha_1mda_1msc_rsub,Fail
dEQP-VK.pipeline.fast_linked_library.blend.format.r8g8_srgb.states.color_1mca_sa_min_alpha_cc_sas_rsub-color_dc_sc_min_alpha_sas_dc_min-color_1mda_1msc_max_alpha_sa_1msc_max-color_cc_1mdc_min_alpha_1mda_1msc_rsub,Fail
dEQP-VK.pipeline.fast_linked_library.blend_operation_advanced.ops.color_attachments_2_blend_overlap_disjoint_ext_6,Fail
dEQP-VK.pipeline.fast_linked_library.blend_operation_advanced.ops.color_attachments_8_blend_overlap_conjoint_ext_nonpremultiplieddst_8,Fail
dEQP-VK.pipeline.fast_linked_library.cache.merge.vertex_stage_tessellation_control_stage_tessellation_evaluation_stage_fragment_stage.src_merged_misshit_dst_hit,Fail
dEQP-VK.pipeline.fast_linked_library.depth.format.d24_unorm_s8_uint.compare_ops.not_equal_greater_or_equal_greater_or_equal_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.depth_range_unrestricted.depthbounds.d16_unorm_compare_op_less_or_equal_clear_value_6_viewport_min_-12_max_12_dynamic_boundstest_min-4_max_4,Fail
dEQP-VK.pipeline.fast_linked_library.extended_dynamic_state.after_pipelines.stencil_state_face_back_xt_dec_clamp_clear_1_ref_2_depthfail,Fail
dEQP-VK.pipeline.fast_linked_library.extended_dynamic_state.before_draw.stencil_state_face_back_eq_replace_clear_102_ref_102_pass,Fail
dEQP-VK.pipeline.fast_linked_library.extended_dynamic_state.before_good_static.stencil_state_face_front_ge_dec_clamp_clear_0_ref_0_pass,Fail
dEQP-VK.pipeline.fast_linked_library.extended_dynamic_state.between_pipelines.stencil_state_face_both_dual_xf_dec_wrap_clear_1_ref_1_fail,Fail
dEQP-VK.pipeline.fast_linked_library.extended_dynamic_state.between_pipelines.stencil_state_face_front_xf_inc_wrap_clear_254_ref_255_fail,Fail
dEQP-VK.pipeline.fast_linked_library.extended_dynamic_state.cmd_buffer_start.stencil_state_face_both_single_le_dec_clamp_clear_1_ref_0_pass,Fail
dEQP-VK.pipeline.fast_linked_library.extended_dynamic_state.two_draws_static.stencil_state_face_back_le_inc_clamp_clear_254_ref_253_pass,Fail
dEQP-VK.pipeline.fast_linked_library.image.suballocation.sampling_type.combined.view_type.1d_array.format.a2b10g10r10_unorm_pack32.count_1.size.3x1_array_of_3,Fail
dEQP-VK.pipeline.fast_linked_library.image.suballocation.sampling_type.combined.view_type.2d.format.r32g32_sfloat.count_4.size.32x16,Fail
dEQP-VK.pipeline.fast_linked_library.image.suballocation.sampling_type.combined.view_type.2d_array.format.astc_8x6_unorm_block.count_1.size.13x23_array_of_3,Fail
dEQP-VK.pipeline.fast_linked_library.image.suballocation.sampling_type.combined.view_type.2d_array.format.r16g16b16a16_uscaled.count_1.size.32x32_array_of_3,Fail
dEQP-VK.pipeline.fast_linked_library.image.suballocation.sampling_type.combined.view_type.3d.format.eac_r11g11_unorm_block.count_1.size.32x16x8,Fail
dEQP-VK.pipeline.fast_linked_library.image.suballocation.sampling_type.separate.view_type.1d.format.r16g16b16_sfloat.count_1.size.512x1,Fail
dEQP-VK.pipeline.fast_linked_library.image.suballocation.sampling_type.separate.view_type.1d_array.format.r32g32b32a32_uint.count_1.size.443x1_array_of_3,Fail
dEQP-VK.pipeline.fast_linked_library.image.suballocation.sampling_type.separate.view_type.1d_array.format.r8g8b8a8_sint.count_1.size.128x1_array_of_3,Fail
dEQP-VK.pipeline.fast_linked_library.image.suballocation.sampling_type.separate.view_type.2d.format.r16g16b16a16_sscaled.count_8.size.13x23,Fail
dEQP-VK.pipeline.fast_linked_library.image.suballocation.sampling_type.separate.view_type.2d_array.format.astc_6x5_srgb_block.count_1.size.8x16_array_of_3,Fail
dEQP-VK.pipeline.fast_linked_library.image.suballocation.sampling_type.separate.view_type.2d_array.format.r16g16b16_uint.count_1.size.1x1_array_of_3,Fail
dEQP-VK.pipeline.fast_linked_library.image.suballocation.sampling_type.separate.view_type.2d_array.format.r8_srgb.count_1.size.32x16_array_of_3,Fail
dEQP-VK.pipeline.fast_linked_library.image.suballocation.sampling_type.separate.view_type.3d.format.etc2_r8g8b8a1_unorm_block.count_1.size.1x1x1,Fail
dEQP-VK.pipeline.fast_linked_library.image.suballocation.sampling_type.separate.view_type.3d.format.r8g8b8a8_sint.count_1.size.17x11x5,Fail
dEQP-VK.pipeline.fast_linked_library.image.suballocation.sampling_type.separate.view_type.cube_array.format.r32g32b32a32_sfloat.count_4.size.32x32_array_of_36,Fail
dEQP-VK.pipeline.fast_linked_library.image_view.view_type.1d_array.format.b8g8r8a8_srgb.component_swizzle.g_b_a_r,Fail
